Company Number,Report Texts
3766,股票解除限售公告                                                                        
3767,第一届监事会第五次会议决议公告                                                                        
3768,第一届董事会第十四次会议决议公告                                                                        
3769,第四届董事会第四次会议决议公告                                                                        
3771,2017年第六次临时股东大会决议公告[2017-063]                                                                        
3772,董事变动公告(新任)                                                                        
3773,股票发行法律意见书[2017-058]                                                                        
3774,2017年第六次临时股东大会决议公告                                                                        
3775,股票解除限售公告                                                                        
3776,涉及仲裁进展公告                                                                        
3777,2017年第四次临时股东大会决议公告                                                                        
3778,第一届董事会第六次会议决议公告                                                                        
3779,2017年第三次股票发行方案                                                                        
3780,第一届董事会第十次会议决议公告                                                                        
3781,高级管理人员辞职公告                                                                        
3782,关于全资子公司被列入经营异常名录的公告                                                                        
3783,董事会秘书变动公告(任职)                                                                        
3784,股权质押公告                                                                        
3785,2017年第一次股票发行方案(更正后)                                                                        
3786,2017年第二次临时股东大会决议公告                                                                        
3787,2017年第三次临时股东大会决议公告                                                                        
3788,2017年第六次临时股东大会决议公告                                                                        
3789,股权质押公告                                                                        
3790,2017年第五次临时股东大会决议公告                                                                        
3791,第一届监事会第七次会议决议公告                                                                        
3792,关于入选“科技小巨人领军企业培育发展库”等荣誉称号的公告                                                                        
3794,第二届董事会第一次会议决议公告                                                                        
3795,会计师事务所变更公告                                                                        
3796,对外投资公告(对子公司增资情况)                                                                        
3797,权益变动报告书(增持)                                                                        
3798,第一届监事会第五次会议决议公告                                                                        
3799,2017年第十二次临时股东大会决议公告                                                                        
3800,第一届董事会第十二次会议决议公告                                                                        
3801,关于公司涉及诉讼补发公告的声明                                                                        
3802,2017年半年度权益分派实施公告                                                                        
3803,关于股票延期恢复转让的进展公告(2017/12/29)                                                                        
3804,关于召开2018年第一次临时股东大会通知公告                                                                        
3805,2017年第六次临时股东大会决议公告                                                                        
3806,2017年半年度权益分派实施公告                                                                        
3807,国联证券股份有限公司关于与上海汉神机电股份有限公司解除持续督导协议的公告
3808,第一届董事会第十次会议决议公告                                                                        
3809,高级管理人员变动公告(1)                                                                        
3810,2017年第七次临时股东大会决议公告                                                                        
3811,第二届董事会第二次会议决议公告                                                                        
3812,2017年第四次临时股东大会决议公告                                                                        
3813,第一届董事会第九次会议决议公告                                                                        
3814,2017年第四次临时股东大会决议公告                                                                        
3816,第一届董事会第十次会议决议公告                                                                        
3817,2017年第五次临时股东大会决议公告                                                                        
3818,广发证券股份有限公司关于尚阳科技股份有限公司股票发行合法合规的意见                                                                        
3819,关于停止部分业务开展的公告                                                                        
3820,2017年第四次临时股东大会决议公告                                                                        
3821,对外投资设立全资子公司的公告                                                                        
3822,发行情况报告书                                                                        
3823,关于公司子公司向银行申请信用贷款的公告[2017-091](补发)                                                                        
3825,股票解除限售公告                                                                        
3826,股票解除限售公告                                                                        
3827,关于调整公司组织架构的议案                                                                        
3828,会计政策变更公告                                                                        
3829,监事任职公告                                                                        
3830,开展融资租赁业务合作的公告                                                                        
3831,第二届董事会第十八次会议决议公告                                                                        
3832,董事、监事及高级管理人员变动公告(任免情况)                                                                        
3833,2017年第四次临时股东大会决议公告                                                                        
3834,权益变动公告                                                                        
3835,董事任命公告                                                                        
3836,2017年第七次临时股东大会决议公告                                                                        
3837,关于股票转让方式变更为做市转让方式的提示性公告                                                                        
3838,总经理任职公告                                                                        
3839,股票解除限售公告                                                                        
3840,关于补发《关于追认偶发性关联交易的公告》的声明公告                                                                        
3841,对外投资公告(参股公司)                                                                        
3842,关于全资子公司获得国家高新技术企业证书的公告                                                                        
3843,关于股票发行新增股份挂牌并公开转让的公告(修订稿)                                                                        
3844,2017年第六次临时股东大会决议公告                                                                        
3845,股票解除限售公告                                                                        
3846,权益变动公告(1)                                                                        
3847,高级管理人员辞职公告                                                                        
3848,2017年第一次临时股东大会决议公告                                                                        
3849,第一届董事会第十四次会议决议公告                                                                        
3850,主办券商关于本次发行合法合规的意见                                                                        
3851,关于使用部分闲置募集资金购买理财产品的进展公告                                                                        
3852,第三届董事会第四次会议决议公告                                                                        
3853,2017年度第二次临时股东大会决议公告                                                                        
3854,关于关联方资金占用进展情况的提示性公告                                                                        
3857,2017年第三次临时股东大会决议公告                                                                        
3858,第一届董事会第十八次会议决议公告                                                                        
3859,对外投资公告                                                                        
3861,2017年第二次临时股东大会决议公告                                                                        
3863,2017年第四次临时股东大会决议公告                                                                        
3865,会计政策变更公告                                                                        
3866,对外投资公告                                                                        
3867,2017年第六次临时股东大会决议公告                                                                        
3868,第二届董事会第三次会议决议公告                                                                        
3869,2017年第三次临时股东大会决议公告                                                                        
3870,高级管理人员变动公告(辞职情况)                                                                        
3871,股票发行认购公告                                                                        
3873,股票解除限售公告                                                                        
3874,第一届董事会第十三次会议决议公告                                                                        
3875,收购、出售资产公告(2)                                                                        
3876,关于修改拟设立的全资子公司注册资本的公告                                                                        
3877,2017年第3次(总第21次)临时股东大会会议决议公告                                                                        
3878,关于全资二级子公司出售资产完成工商变更登记的公告                                                                        
3879,2017年第四次临时股东大会决议公告                                                                        
3880,关于变更公司经营范围及修改公司章程的公告                                                                        
3881,2017年第五次临时股东大会决议公告                                                                        
3882,关于项目中标的公告                                                                        
3883,对外捐赠管理制度                                                                        
3884,财达证券股份有限公司关于安徽亿源药业股份有限公司被收回GMP证书的风险提示公告                                                                        
3885,股权质押公告                                                                        
3886,2017年第一次临时股东大会通知公告                                                                        
3887,2017年第六次临时股东大会决议公告                                                                        
3888,第一届监事会第十次会议决议公告                                                                        
3889,高级管理人员变动公告(任免)                                                                        
3890,监事变动公告(任命)                                                                        
3891,对外投资的公告(补发)                                                                        
3892,关于控股子公司完成股份制改造的公告                                                                        
3893,2017年半年度权益分派实施公告                                                                        
3894,西部证券股份有限公司关于与上海喜喜母婴护理服务股份有限公司签署持续督导协议的公告                                                                        
3895,2017年第八次临时股东大会决议公告                                                                        
3896,关于修改公司章程公告                                                                        
3897,监事变动公告(任免)                                                                        
3898,关于股票发行新增股份挂牌并公开转让的公告[2017-072]                                                                        
3899,监事变动公告(辞职)                                                                        
3900,重大资产重组停牌公告                                                                        
3901,权益变动报告书                                                                        
3902,关于签订重大合同的公告                                                                        
3903,对外投资设立全资子公司公告                                                                        
3904,2017年第六次临时股东大会决议公告[2017-054]                                                                        
3905,2018年第一次临时股东大会通知公告                                                                        
3906,关于公司获得中国公益慈善项目大赛金奖项目资助金的公告                                                                        
3907,2018年第一次临时股东大会通知公告                                                                        
3908,2017年第三次临时股东大会决议公告                                                                        
3909,2017年第一次临时股东大会决议公告                                                                        
3910,股票发行认购公告                                                                        
3911,关于再次通过国家高新技术企业认证的公告                                                                        
3912,关于取得高新技术企业证书的公告                                                                        
3913,第一届董事会第三十次会议决议公告                                                                        
3914,关于签署战略合作框架协议的公告                                                                        
3915,2018年第一次临时股东大会通知公告                                                                        
3916,2018年第一次临时股东大会通知公告                                                                        
3917,第一届董事会第十一次会议决议公告                                                                        
3918,对外投资公告(设立控股子公司或参股公司情况)                                                                        
3919,获得政府科技奖励资金的公告                                                                        
3921,2017年第五次临时股东大会决议公告                                                                        
3922,2018年第一次临时股东大会通知公告                                                                        
3923,关联交易公告                                                                        
3924,第一届监事会第五次会议决议公告                                                                        
3925,2017年第二次临时股东大会决议公告                                                                        
3926,2018年第一次临时股东大会通知公告                                                                        
3927,关于重大事项股票暂停转让的公告                                                                        
3928,关于收到全国中小企业股份转让系统有限责任公司关于对山东鑫海矿业技术股份有限公司及相关责任主体采取自律监管措施的决定的公告                                                                        
3929,关于非公开发行创新创业公司债券收到上交所无异议函的公告                                                                        
3930,2017年第六次临时股东大会决议公告                                                                        
3931,2017年第二次临时股东大会决议公告                                                                        
3932,第二届监事会第六次会议决议公告                                                                        
3933,关联交易公告                                                                        
3934,2017年第七次临时股东大会决议公告                                                                        
3935,关于公司股票停牌进展情况的公告                                                                        
3936,2017年第二次临时股东大会决议公告                                                                        
3937,第一届董事会第十五次会议决议公告                                                                        
3938,权益变动公告                                                                        
3939,2017年第四次临时股东大会决议公告                                                                        
3940,股票解除限售公告                                                                        
3941,2017年第三次临时股东大会决议公告                                                                        
3942,2017年第五次临时股东大会决议公告                                                                        
3943,关于全资子公司完成工商注册登记的公告                                                                        
3944,关于全资子公司完成工商注册登记并领取营业执照的公告                                                                        
3945,股票解除限售公告                                                                        
3946,2017年半年度权益分派实施公告                                                                        
3947,股票解除限售公告                                                                        
3948,关于收到全资子公司派发现金的公告                                                                        
3949,东兴证券股份有限公司关于后续加入为江苏揽月工程科技发展股份有限公司股票提供做市报价服务的公告
3950,关于董事会、监事会及高级管理人员延期换届的公告                                                                        
3951,2017年第六次临时股东大会决议公告                                                                        
3952,关于拟与仲利国际租赁有限公司开展融资租赁业务合作的公告                                                                        
3953,关于公司股票恢复转让的公告                                                                        
3955,收购股权暨关联交易公告                                                                        
3956,广东广信君达律师事务所关于广东京华新材料科技股份有限公司2017年第一次股票发行合法合规的法律意见                                                                        
3957,第一届董事会2017年第四次会议决议公告                                                                        
3958,董事辞职公告[2017-030]                                                                        
3959,高级管理人员变动公告                                                                        
3960,第一届监事会第六次会议决议公告                                                                        
3961,2017年第四次临时股东大会决议公告                                                                        
3962,第一届监事会第十次会议决议公告                                                                        
3963,2017年第二次临时股东大会决议公告                                                                        
3964,关于信息披露负责人变更公告                                                                        
3965,第一届董事会第十二次会议决议公告                                                                        
3966,第一届董事会第二十九次会议决议公告                                                                        
3967,2018年第一次临时股东大会会议通知公告                                                                        
3968,关于与SKYNET签订跨境电商物流合作协议的公告                                                                        
3970,关于实缴控股子公司部分注册资本的公告                                                                        
3971,购买资产的公告                                                                        
3972,关于上市辅导备案的提示性公告                                                                        
3974,主办券商关于股票发行合法合规性意见                                                                        
3975,关于补发股权司法冻结的声明公告                                                                        
3976,2018年第一次临时股东大会通知公告                                                                        
3977,关于变更募集资金用途的公告                                                                        
3978,关于子公司完成工商登记变更的公告                                                                        
3979,关于股票转让方式变更为做市转让方式的提示性公告                                                                        
3980,2017年第一次临时股东大会决议公告                                                                        
3982,关于全资子公司完成工商注册登记并取得营业执照的公告(2017/12/29)                                                                        
3983,董事变动公告(任命)                                                                        
3984,2017年第五次临时股东大会决议公告                                                                        
3985,权益变动报告书(2017/12/27)                                                                        
3986,2017年第八次股东大会决议公告                                                                        
3987,关于预计2018年度日常性关联交易的公告                                                                        
3988,致投资者的一封信                                                                        
3989,2017年第四次临时股东大会决议公告                                                                        
3990,关于公司会计政策变更公告                                                                        
3991,关于拟向远东国际租赁有限公司开展融资租赁业务合作的公告                                                                        
3992,职工代表监事辞职公告                                                                        
3993,关于获得上海市第14批普陀区区级企业技术中心认定的公告                                                                        
3994,关于完成权益分派及工商变更登记的公告                                                                        
3995,2017年半年度权益分派实施公告                                                                        
3996,第一届董事会第十一次会议决议公告                                                                        
3997,董事变动公告                                                                        
3999,2017年第三次临时股东大会决议公告                                                                        
4000,第一届董事会第十二次会议决议公告                                                                        
4001,北京市天元律师事务所关于天职工程咨询股份有限公司2017年第五次临时股东大会的法律意见                                                                        
4002,会计师事务所变更公告                                                                        
4003,第一届监事会第五次会议决议公告                                                                        
4004,2018年第一次临时股东大会通知公告                                                                        
4005,第一届董事会第二十次会议决议公告                                                                        
4006,寰旗科技第一届监事会第五次会议决议公告                                                                        
4007,2017年第二次临时股东大会通知公告                                                                        
4008,第一届监事会第五次会议决议公告                                                                        
4009,股权质押公告                                                                        
4010,关于通过安徽省2017年第一批高新技术企业认定的公告                                                                        
4013,控股子公司转让出资权公告                                                                        
4014,2017年第二次(临时)股东大会决议公告                                                                        
4015,第三届董事会第十二次会议决议公告                                                                        
4016,2017年半年度权益分派实施公告                                                                        
4017,2017年第六次临时股东大会决议公告                                                                        
4018,高级管理人员辞职公告                                                                        
4019,第一届董事会第十次会议决议公告                                                                        
4020,第一届董事会第十二次会议决议公告                                                                        
4021,关于重大资产重组进展情况公告                                                                        
4022,2018年第一次临时股东大会通知公告                                                                        
4023,第一届董事会第八次会议决议公告                                                                        
4024,2017年第三次临时股东大会决议公告                                                                        
4025,股权质押公告                                                                        
4026,2017年第十三次临时股东大会决议公告                                                                        
4027,2017年第三次临时股东大会决议公告                                                                        
4028,2017年第三次临时股东大会决议公告                                                                        
4029,关于公司技术改造项目取得环评批复的公告                                                                        
4030,2017年第五次临时股东大会决议公告                                                                        
4031,权益变动报告书                                                                        
4032,2017年第三次临时股东大会决议公告                                                                        
4033,关于上市辅导备案的提示性公告                                                                        
4034,关于预计2018年度日常性关联交易的公告                                                                        
4035,股权质押公告                                                                        
4036,2017年第一次临时股东大会决议公告                                                                        
4037,2017年第一次临时股东大会决议公告                                                                        
4038,第一届董事会第十三次会议决议公告                                                                        
4039,关于公司经营范围变更完成及章程备案的公告                                                                        
4040,关于使用自有闲置资金购买国债逆回购的公告                                                                        
4041,2017年第一次临时股东大会决议公告                                                                        
4042,对外投资的公告                                                                        
4043,重大合同公告                                                                        
4044,第一届董事会第二十五次会议决议公告                                                                        
4045,2017年第三次临时股东大会决议公告                                                                        
4046,第一届董事会第十四次会议决议公告                                                                        
4047,股权质押公告(2017/12/27)                                                                        
4048,关于公司核心技术人员变动公告                                                                        
4049,2017年第三次临时股东大会决议公告                                                                        
4050,2017年第五次临时股东大会决议公告                                                                        
4051,股票发行认购公告                                                                        
4052,第一届董事会第十三次会议决议公告                                                                        
4053,关于公司股票复牌的公告                                                                        
4054,西南证券股份有限公司关于重庆瑞普电气实业股份有限公司资金占用的风险提示性公告                                                                        
4055,股票解限售公告                                                                        
4056,关于公司股票暂停转让的进展公告                                                                        
4057,关于公司股票延期恢复转让的公告                                                                        
4058,第一届董事会第十四次会议决议公告                                                                        
4059,关于出售资产公告                                                                        
4060,2017年第四次临时股东大会决议公告                                                                        
4061,第一届董事会第六次会议决议公告                                                                        
4062,2017年第四次临时股东大会决议公告                                                                        
4063,股票解除限售公告                                                                        
4064,2017年第四次临时股东大会决议的公告                                                                        
4065,会计政策变更公告                                                                        
4066,高级管理人员变动公告                                                                        
4068,会计师事务所变更公告                                                                        
4069,第一届董事会第十六次会议决议公告                                                                        
4070,2017年第五次临时股东大会决议公告                                                                        
4071,高级管理人员变动情况(辞职情况)                                                                        
4072,2017年第三次临时股东大会决议公告                                                                        
4073,监事任职公告                                                                        
4074,第一届董事会第十次会议决议公告                                                                        
4075,监事会主席变动公告                                                                        
4076,2017年第二次临时股东大会决议公告                                                                        
4078,监事任免公告                                                                        
4079,2017年半年度权益分派实施公告                                                                        
4080,对外投资公告                                                                        
4081,股票解除限售公告                                                                        
4082,股票解除限售公告                                                                        
4083,2017年第六次临时股东大会决议公告                                                                        
4085,2017年第二次临时股东大会决议公告                                                                        
4087,监事离职公告                                                                        
4088,股票发行认购公告                                                                        
4089,监事任职公告                                                                        
4090,华创证券有限责任公司关于湖北和韵文化旅游开发股份有限公司的风险提示性公告                                                                        
4091,关于与中国移动通信集团安徽有限公司签订运营合作框架协议的公告                                                                        
4092,第一届监事会第五次会议决议公告                                                                        
4093,第一届董事会第十二次会议决议公告                                                                        
4095,2018年第一次临时股东大会通知公告                                                                        
4096,监事变动公告                                                                        
4097,2017年第三次临时股东大会决议公告                                                                        
4098,2017年第二次临时股东大会决议公告                                                                        
4099,第一届董事会第十七次会议决议公告                                                                        
4101,2017年第六次临时股东大会决议公告                                                                        
4102,权益变动报告书(2017/12/28)                                                                        
4103,2017年第三次临时股东大会决议公告                                                                        
4104,第一届董事会第十四次会议决议公告                                                                        
4105,关于公司获得政府补贴资金的公告                                                                        
4107,2017年第二次临时股东大会通知公告                                                                        
4108,第一届董事会第九次会议决议公告                                                                        
4109,2017年第二次临时股东大会决议公告                                                                        
4110,监事人员变动公告                                                                        
4111,股票解除限售公告                                                                        
4112,2017年第七次临时股东大会决议公告                                                                        
4113,关于签订重大合同的公告                                                                        
4114,2017年第一次临时股东大会决议公告                                                                        
4115,关于变更公司名称、证券简称的公告                                                                        
4116,第一届董事会第十七次会议决议公告                                                                        
4117,股票解除限售公告                                                                        
4118,控股孙公司对外投资的公告                                                                        
4119,关于公司股票延期恢复转让的公告                                                                        
4120,2017年第五次临时股东大会决议公告                                                                        
4122,第一届董事会第十二次会议决议公告                                                                        
4123,2017年第四次临时股东大会决议公告                                                                        
4124,关于补发注销子公司及分公司的声明公告                                                                        
4125,权益变动公告                                                                        
4126,关于股票转让方式变更为做市转让方式的提示性公告                                                                        
4127,第一届董事会第十八次会议决议公告                                                                        
4128,董事、高级管理人员辞职公告                                                                        
4129,第二届监事会第五次会议决议公告                                                                        
4130,高级管理人员变动公告                                                                        
4131,关于变更公司经营范围暨修改公司章程并完成工商变更登记的公告                                                                        
4132,2017年第五次临时股东大会决议公告                                                                        
4133,关于全资子公司完成注销的公告                                                                        
4135,关于使用闲置自有资金购买理财产品的公告(2017/11/22)                                                                        
4136,财务总监变动公告                                                                        
4137,2017年第四次临时股东大会决议公告                                                                        
4138,2018年第一次临时股东大会通知公告                                                                        
4140,关于获得知识产权管理体系认证证书的公告                                                                        
4141,第一届董事会第十次会议决议公告                                                                        
4142,关于注销参股子公司公告                                                                        
4143,董事变动公告                                                                        
4144,2017年第四次临时股东大会决议公告                                                                        
4145,关于预计2018年日常性关联交易公告                                                                        
4146,第一届董事会第十次会议决议公告                                                                        
4147,2017年第八次临时股东大会决议公告                                                                        
4148,对外投资公告(设立控股子公司)                                                                        
4149,2017年第五次临时股东大会决议公告                                                                        
4150,对外投资公告(对子公司增资情况)                                                                        
4151,董监高人员变动公告                                                                        
4152,关联交易公告                                                                        
4154,关于预计2018年度公司日常性关联交易的公告                                                                        
4155,项目中标公告                                                                        
4156,2018年第一次临时股东大会通知公告                                                                        
4157,2017年第三次临时股东大会决议公告                                                                        
4158,关于全资子公司更名并完成工商登记的公告                                                                        
4159,2017年第二次临时股东大会决议公告                                                                        
4160,2017年第二次临时股东大会决议公告                                                                        
